지역,공원면적,공원수,인구,면적,공원면적비율,인당_공원면적
강남구,3626398,7,544055,39500000.0,9.180754430379746,6.665498892575199
강동구,1526387,7,463998,24590000.0,6.207348515656771,3.2896413346609252
강북구,3714902,4,311569,23600000.0,15.741110169491526,11.923208021337167
강서구,2194152,9,585901,41440000.0,5.294768339768339,3.744919363510218
관악구,10431453,2,509803,29570000.0,35.277149137639505,20.46173325774858
광진구,584002,2,360109,17060000.0,3.423223915592028,1.6217367519278885
구로구,1617657,4,432488,20120000.0,8.040044731610339,3.7403511773737073
금천구,57568,4,247835,13020000.0,0.4421505376344086,0.23228357576613473
노원구,12024307,2,527032,35440000.0,33.92863148984199,22.8151364623021
도봉구,1084218,6,327361,20650000.0,5.250450363196126,3.3119950146779855
동대문구,458663,4,357014,14220000.0,3.225478199718706,1.2847199269496434
동작구,3706738,7,401572,16350000.000000002,22.671180428134555,9.230568864363054
마포구,2685112,5,381858,23850000.0,11.258331236897275,7.031702884318254
서대문구,3321475,4,322952,17630000.0,18.83990357345434,10.28473271569769
서초구,13359636,6,429025,46980000.0,28.43685823754789,31.139527999533826
성동구,626838,5,300505,16860000.0,3.717900355871886,2.085948653100614
성북구,1198327,3,447056,24580000.0,4.875211554109032,2.680485218854014
송파구,2838992,7,673926,33870000.0,8.382025391201653,4.212616815496063
양천구,1203428,5,457781,17410000.0,6.912280298678921,2.6288290689216023
영등포구,424446,5,407367,24550000.0,1.7289042769857432,1.0419253400496358
용산구,247194,2,244645,21870000.0,1.1302880658436214,1.0104191788101127
은평구,2986466,7,484043,29710000.0,10.052056546617301,6.169836150920476
종로구,3907678,12,158996,23910000.0,16.34327896277708,24.577209489546906
중구,2943303,4,134635,9960000.0,29.551234939759034,21.861351060274075
중랑구,7078975,6,399562,18500000.0,38.26472972972973,17.716837436993508
